Player,Team,Position,Salary
Rayan Gonzalez,COL,P,5500
Niko Goodrum,DET,1B,2000
Brian Goodwin,WSH,OF,2300
Nick Goody,CLE,P,5500
Dee Gordon,SEA,OF,3200
Alex Gordon,KC,OF,2700
Philip Gosselin,ATL,2B,2000
Daniel Gossett,OAK,P,5500
Trevor Gott,WSH,P,5500
Matt Grace,WSH,P,5500
Yasmani Grandal,LAD,C,2900
Curtis Granderson,TOR,OF,2700
Juan Graterol,LAA,C,3000
Kendall Graveman,OAK,P,5600
Brett Graves,MIA,P,5500
Sonny Gray,NYY,P,6400
Jonathan Gray,COL,P,7300
Chad Green,NYY,P,5500
Shane Greene,DET,P,5500
Didi Gregorius,NYY,SS,4400
Grayson Greiner,DET,C,2000
Zack Greinke,ARI,P,9300
Randal Grichuk,TOR,OF,2000
Justin Grimm,KC,P,5500
Robert Gsellman,NYM,P,5500
Junior Guerra,MIL,P,8000
Javier Guerra,SD,SS,2000
Tayron Guerrero,MIA,P,5500
Yulieski Gurriel,HOU,1B,3100
Lourdes Gurriel Jr.,TOR,OF,2400
Brandon Guyer,CLE,OF,2300
Ronald Guzman,TEX,1B,2100
Josh Hader,MIL,P,5500
Jesse Hahn,KC,P,5500
David Hale,NYY,P,5500
Cole Hamels,TEX,P,8100
Billy Hamilton,CIN,OF,2800
Jason Hammel,KC,P,6200
Brad Hand,SD,P,5500
Mitch Haniger,SEA,OF,3900
Alen Hanson,SF,2B,3600
J.A. Happ,TOR,P,9000
Ian Happ,CHC,OF,2500
Blaine Hardy,DET,P,5500
Bryce Harper,WSH,OF,5000
Will Harris,HOU,P,5500
Josh Harrison,PIT,2B,2000
Donnie Hart,BAL,P,5500
Matt Harvey,NYM,P,5500
Hunter Harvey,BAL,P,5500
Chris Hatcher,OAK,P,5500
Chase Headley,SD,3B,2100
Ryon Healy,SEA,1B,3300
Andrew Heaney,LAA,P,7200
Adeiny Hechavarria,TB,SS,2400
Austin Hedges,SD,C,2000
Ben Heller,NYY,P,5500
Jeremy Hellickson,WSH,P,6000
Heath Hembree,BOS,P,5500
Kyle Hendricks,CHC,P,8000
Liam Hendriks,OAK,P,5500
Guillermo Heredia,SEA,OF,2300
Gorkys Hernandez,SF,OF,2200
Cesar Hernandez,PHI,2B,3700
Enrique Hernandez,LAD,3B,2500
David Hernandez,CIN,P,5500
Marco Hernandez,BOS,SS,2000
Felix Hernandez,SEA,P,6000
Teoscar Hernandez,TOR,OF,3500
Elieser Hernandez,MIA,P,5500
Kelvin Herrera,KC,P,5500
Odubel Herrera,PHI,OF,3700
Rosell Herrera,CIN,2B,2000
Ronald Herrera,TEX,P,5500
David Hess,BAL,P,5500
Jason Heyward,CHC,OF,2500
Aaron Hicks,NYY,OF,3100
John Hicks,DET,C,3100
Rich Hill,LAD,P,7500
Yoshihisa Hirano,ARI,P,5500
Jeff Hoffman,COL,P,6100
Bryan Holaday,MIA,C,2000
Jonathan Holder,NYY,P,5500
Derek Holland,SF,P,7100
Clay Holmes,PIT,P,5500
Brock Holt,BOS,2B,2200
J.J. Hoover,MIL,P,5500
Rhys Hoskins,PHI,OF,4300
Eric Hosmer,SD,1B,3500
Adrian Houser,MIL,P,5500
James Hoyt,HOU,P,5500
Chih Wei Hu,TB,P,5500
Daniel Hudson,LAD,P,5500
Jared Hughes,CIN,P,5500
Nick Hundley,SF,C,2400
Tommy Hunter,PHI,P,5500
Drew Hutchison,PHI,P,5700
Chris Iannetta,COL,C,3000
Jose Iglesias,DET,SS,2400
Raisel Iglesias,CIN,P,5500
Ender Inciarte,ATL,OF,2900
Gregory Infante,CWS,P,5500
Austin Jackson,SF,OF,2200
Luke Jackson,ATL,P,5500
Travis Jankowski,SD,OF,2600
Kenley Jansen,LAD,P,5500
Jon Jay,KC,OF,2300
Jeremy Jeffress,MIL,P,5500
Dan Jennings,MIL,P,5500
Kevin Jepsen,TEX,P,5500
Joe Jimenez,DET,P,5500
Pierce Johnson,SF,P,5500
Jim Johnson,LAA,P,5500
Brian Johnson,BOS,P,5500
Nate Jones,CWS,P,5500
Adam Jones,BAL,OF,2800
Jacoby Jones,DET,OF,2600
Caleb Joseph,BAL,C,2000
Matt Joyce,OAK,OF,2600
Aaron Judge,NYY,OF,4900
Jake Junis,KC,P,8700
Tommy Kahnle,NYY,P,5500
Nathan Karns,KC,P,6000
Keone Kela,TEX,P,5500
Brad Keller,KC,P,5500
Shawn Kelley,WSH,P,5500
Joe Kelly,BOS,P,5500
Matt Kemp,LAD,OF,3300
Howie Kendrick,WSH,2B,3200
Ian Kennedy,KC,P,5500
Clayton Kershaw,LAD,P,11000
Dallas Keuchel,HOU,P,8900
Kevin Kiermaier,TB,OF,2000
Craig Kimbrel,BOS,P,5500
Isiah Kiner Falefa,TEX,2B,2500
Scott Kingery,PHI,SS,2300
Nicholas Kingham,PIT,P,8000
Tyler Kinley,MIA,P,5500
Ian Kinsler,LAA,2B,3200
Brandon Kintzler,WSH,P,5500
Jason Kipnis,CLE,2B,2900
Andrew Kittredge,TB,P,5500
Corey Kluber,CLE,P,11400
Andrew Knapp,PHI,C,2100
Corey Knebel,MIL,P,5500
Matt Koch,ARI,P,6000
Tom Koehler,LAD,P,5500
George Kontos,PIT,P,5500
Pete Kozma,DET,SS,2000
Chad Kuhl,PIT,P,7000
Tommy La Stella,CHC,3B,2200
Juan Lagares,NYM,OF,2100
Jake Lamb,ARI,3B,2500
Dinelson Lamet,SD,P,7000
Eric Lauer,SD,P,5900
Derek Law,SF,P,5500
Casey Lawrence,SEA,P,5500
Wade LeBlanc,SEA,P,5900
DJ LeMahieu,COL,2B,3300
Mike Leake,SEA,P,5600
Jose Leclerc,TEX,P,5500
Braxton Lee,MIA,OF,2000
Mark Leiter Jr.,PHI,P,5500
Sandy Leon,BOS,C,2400
Jon Lester,CHC,P,8100
Artie Lewicki,DET,P,5500
Adam Liberatore,LAD,P,5500
Tzu Wei Lin,BOS,SS,2100
Tim Lincecum,TEX,P,5500
Jacob Lindgren,ATL,P,5500
Francisco Lindor,CLE,SS,4600
Francisco Liriano,DET,P,7800
Ben Lively,PHI,P,5900
Jose Lobaton,NYM,C,2000
Tim Locastro,LAD,2B,2400
Boone Logan,MIL,P,5500
Evan Longoria,SF,3B,3000
Rafael Lopez,SD,C,2400
Jorge Lopez,MIL,P,5500
Reynaldo Lopez,CWS,P,7300
Michael Lorenzen,CIN,P,5500
Aaron Loup,TOR,P,5500
Jed Lowrie,OAK,2B,3800
Josh Lucas,OAK,P,5500
Joey Lucchesi,SD,P,8000
Jonathan Lucroy,OAK,C,2400
Seth Lugo,NYM,P,5500
Jordan Lyles,SD,P,5500
Dixon Machado,DET,2B,2200
Manny Machado,BAL,SS,4500
Austin Maddox,BOS,P,5500
Ryan Madson,WSH,P,5500
Kenta Maeda,LAD,P,8400
Tyler Mahle,CIN,P,7000
Mikie Mahtook,DET,OF,2000
Luke Maile,TOR,C,2500
Kazuhisa Makita,SD,P,5500
Martin Maldonado,LAA,C,3000
Sean Manaea,OAK,P,8500
Trey Mancini,BAL,OF,2900
Manuel Margot,SD,OF,2300
Jake Marisnick,HOU,OF,2000
Mike Marjama,SEA,C,2000
Nick Markakis,ATL,OF,3900
German Marquez,COL,P,6600
Deven Marrero,ARI,3B,2000
Evan Marshall,CLE,P,5500
Starling Marte,PIT,OF,3800
Jefry Marte,LAA,1B,3000
Ketel Marte,ARI,2B,2000
Leonys Martin,DET,OF,3500
Chris Martin,TEX,P,5500
Russell Martin,TOR,C,2300
J.D. Martinez,BOS,OF,4700
Victor Martinez,DET,C,2600
Jeff Mathis,ARI,C,2100
Phil Maton,SD,P,5500
Steven Matz,NYM,P,6400
Brandon Maurer,KC,P,5500
Bruce Maxwell,OAK,C,2100
Cameron Maybin,MIA,OF,2300
Tim Mayza,TOR,P,5500
Nomar Mazara,TEX,OF,3400
Cory Mazzoni,CHC,P,5500
Zach McAllister,CLE,P,5500
James McCann,DET,C,2400
Brian McCann,HOU,C,2400
Brandon McCarthy,ATL,P,6600
Kevin McCarthy,KC,P,5500
Lance McCullers,HOU,P,9500
Andrew McCutchen,SF,OF,3600
T.J. McFarland,ARI,P,5500
Jake McGee,COL,P,5500
Kyle McGrath,SD,P,5500
Collin McHugh,HOU,P,5500
Billy McKinney,NYY,OF,2000
Ryan McMahon,COL,3B,3000
Kris Medlen,ARI,P,5500
Mark Melancon,SF,P,5500
Yohander Mendez,TEX,P,5500
Daniel Mengden,OAK,P,7000
Jordy Mercer,PIT,SS,2300
Whit Merrifield,KC,2B,3700
Ryan Merritt,CLE,P,5500
Devin Mesoraco,CIN,C,2000
Alex Meyer,LAA,P,5500
Keynan Middleton,LAA,P,5500
Wade Miley,MIL,P,5900
Shelby Miller,ARI,P,5500
Brad Miller,TB,1B,2600
Andrew Miller,CLE,P,5500
Hoby Milner,PHI,P,5500
Juan Minaya,CWS,P,5500
Mike Minor,TEX,P,6500
A.J. Minter,ATL,P,5500
Ariel Miranda,SEA,P,5500
Bryan Mitchell,SD,P,5500
Yoan Moncada,CWS,2B,3000
Rafael Montero,NYM,P,5500
Miguel Montero,WSH,C,2000
Mike Montgomery,CHC,P,5500
Jordan Montgomery,NYY,P,7200
Matt Moore,TEX,P,5500
Kendrys Morales,TOR,1B,2400
Colin Moran,PIT,3B,2900
Mitch Moreland,BOS,1B,4000
Adam Morgan,PHI,P,5500
Max Moroff,PIT,SS,2000
Reyes Moronta,SF,P,5500
Akeel Morris,LAA,P,5500
Brandon Morrow,CHC,P,5500
Charlie Morton,HOU,P,9400
Taylor Motter,SEA,OF,2300
Mike Moustakas,KC,3B,3900
Peter Moylan,ATL,P,5500
Max Muncy,LAD,OF,2200
Daniel Murphy,WSH,2B,3000
Harrison Musgrave,COL,P,5500
Joe Musgrove,PIT,P,6000
Wil Myers,SD,OF,2700
Tyler Naquin,CLE,OF,2100
Omar Narvaez,CWS,C,2000
Efren Navarro,CHC,1B,2000
Zach Neal,CIN,P,5500
Jimmy Nelson,MIL,P,7000
Hector Neris,PHI,P,5500
Pat Neshek,PHI,P,5500
Dovydas Neverauskas,PIT,P,5500
Sean Newcomb,ATL,P,7900
Mpho' Ngoepe,TOR,SS,2000
Juan Nicasio,SEA,P,5500
Tomas Nido,NYM,C,2000
Brandon Nimmo,NYM,OF,2500
Aaron Nola,PHI,P,9000
Daniel Norris,DET,P,5800
Jacob Nottingham,MIL,C,2000
Ivan Nova,PIT,P,8500
Eduardo Nunez,BOS,2B,2800
Renato Nunez,TEX,3B,2000
Darren O'Day,BAL,P,5500
Chris O'Grady,MIA,P,5500
Trevor Oaks,KC,P,5500
Scott Oberg,COL,P,5500
Rougned Odor,TEX,2B,2300
Alexi Ogando,CLE,P,5500
Seung Hwan Oh,TOR,P,5500
Shohei Ohtani,LAA,OF,4200
Steven Okert,SF,P,5500
Matt Olson,OAK,1B,2800
Tyler Olson,CLE,P,5500
Paulo Orlando,KC,OF,2000
Josh Osich,SF,P,5500
Roberto Osuna,TOR,P,5500
Jose Osuna,PIT,OF,2000
Corey Oswalt,NYM,P,5500
Dan Otero,CLE,P,5500
Adam Ottavino,COL,P,5500
Chris Owings,ARI,OF,2100
Emilio Pagan,OAK,P,5500
Daniel Palka,CWS,OF,2700
Joe Palumbo,TEX,P,5500
Joe Panik,SF,2B,2300
Eduardo Paredes,LAA,P,5500
Edward Paredes,LAD,P,5500
Blake Parker,LAA,P,5500
Gerardo Parra,COL,OF,3000
James Paxton,SEA,P,9500
James Pazos,SEA,P,5500
Brad Peacock,HOU,P,5500
Steve Pearce,TOR,OF,2000
Joc Pederson,LAD,OF,2400
Dustin Pedroia,BOS,2B,2500
Felix Pena,LAA,P,5500
Hunter Pence,SF,OF,2000
Cliff Pennington,CIN,SS,2200
David Peralta,ARI,OF,3100
Wandy Peralta,CIN,P,5500
Jose Peraza,CIN,SS,3200
Luis Perdomo,SD,P,6200
Martin Perez,TEX,P,5500
Salvador Perez,KC,C,3200
Hernan Perez,MIL,OF,2000
Roberto Perez,CLE,C,2000
Carlos Perez,TEX,C,2000
Dillon Peters,MIA,P,5500
Jace Peterson,BAL,2B,2600
Yusmeiro Petit,OAK,P,5500
Jake Petricka,TOR,P,5500
Josh Phegley,OAK,C,2000
David Phelps,SEA,P,5500
Brett Phillips,MIL,OF,2000
Kevin Pillar,TOR,OF,2900
Manny Pina,MIL,C,2100
Chad Pinder,OAK,OF,2500
Jose Pirela,SD,2B,2300
Stephen Piscotty,OAK,OF,2300
Nick Pivetta,PHI,P,6700
Kevin Plawecki,NYM,C,2000
Adam Plutko,CLE,P,5500
Gregory Polanco,PIT,OF,3400
A.J. Pollock,ARI,OF,4400
Drew Pomeranz,BOS,P,6900
Dalton Pompey,TOR,OF,2000
Rick Porcello,BOS,P,9400
