name,Power,Ground
Chris Stratton,vs. avg.P/F,vs. avg.F/G
Chris Tillman,vs. Finesse,vs. Fly Ball
Chris Withrow,vs. Power,vs. avg.F/G
Chris Young,vs. avg.P/F,vs. Fly Ball
Christian Bergman,vs. Finesse,vs. Fly Ball
Christian Friedrich,vs. avg.P/F,vs. avg.F/G
Clay Buchholz,vs. Finesse,vs. avg.F/G
Clayton Kershaw,vs. Power,vs. avg.F/G
Clayton Richard,vs. Finesse,vs. GrndBall
Cliff Lee,vs. Finesse,vs. Fly Ball
Cody Allen,vs. Power,vs. Fly Ball
Cody Anderson,vs. Finesse,vs. avg.F/G
Cody Martin,vs. Finesse,vs. avg.F/G
Colby Lewis,vs. Finesse,vs. Fly Ball
Cole Hamels,vs. avg.P/F,vs. avg.F/G
Colin Rea,vs. avg.P/F,vs. GrndBall
Collin McHugh,vs. avg.P/F,vs. avg.F/G
Corey Kluber,vs. avg.P/F,vs. avg.F/G
Corey Knebel,vs. Power,vs. avg.F/G
Cory Gearrin,vs. Power,vs. GrndBall
Cory Mazzoni,vs. Finesse,vs. GrndBall
Cory Rasmus,vs. Power,vs. Fly Ball
Craig Breslow,vs. avg.P/F,vs. Fly Ball
Craig Kimbrel,vs. Power,vs. Fly Ball
Craig Stammen,vs. Finesse,vs. GrndBall
Daisuke Matsuzaka,vs. Power,vs. Fly Ball
Dale Thayer,vs. Finesse,vs. Fly Ball
Dalier Hinojosa,vs. avg.P/F,vs. avg.F/G
Dallas Keuchel,vs. Finesse,vs. GrndBall
Dan Altavilla,vs. Power,vs. Fly Ball
Dan Haren,vs. Finesse,vs. Fly Ball
Dan Jennings,vs. avg.P/F,vs. GrndBall
Dan Otero,vs. Finesse,vs. GrndBall
Dan Straily,vs. avg.P/F,vs. Fly Ball
Dan Winkler,vs. Power,vs. avg.F/G
Dana Eveland,vs. Finesse,vs. GrndBall
Daniel Gossett,vs. Finesse,vs. GrndBall
Daniel Hudson,vs. avg.P/F,vs. Fly Ball
Daniel Mengden,vs. Finesse,vs. avg.F/G
Daniel Norris,vs. avg.P/F,vs. Fly Ball
Daniel Webb,vs. Power,vs. GrndBall
Danny Barnes,vs. Power,vs. Fly Ball
Danny Coulombe,vs. Power,vs. GrndBall
Danny Duffy,vs. avg.P/F,vs. Fly Ball
Danny Farquhar,vs. Power,vs. avg.F/G
